solvent,solute,deltaG,logK
CC1COC(=O)O1,c1ccccc1,-0.16801,2.84
CC1COC(=O)O1,Cc1ccccc1,-0.18930999999999998,3.2
CC1COC(=O)O1,CCc1ccccc1,-0.20883000000000002,3.53
CC1COC(=O)O1,CCCCCCCCCC,-0.1757,2.97
CC1COC(=O)O1,Cc1ccc(cc1)C,-0.20942,3.54
CC1COC(=O)O1,CC(C)(C)Cl,-0.12009,2.03
CC1COC(=O)O1,CC(C)(C)Br,-0.14376,2.43
CC1COC(=O)O1,C[Sn](C)(C)C,-0.0982,1.66
CC1COC(=O)O1,CCCCC=C,-0.10235,1.73
CC1COC(=O)O1,CC(=C)C=C,-0.1059,1.79
CC1COC(=O)O1,C(CCl)Cl,-0.18754,3.17
CC1COC(=O)O1,CC1CCCC1,-0.10471,1.77
CC1COC(=O)O1,Cc1ccccc1C,-0.21948,3.71
CC1COC(=O)O1,CC1CCCCC1,-0.1266,2.14
CC1COC(=O)O1,CC(C)CCC(C)C,-0.11477000000000001,1.94
CC1COC(=O)O1,CC=C(C)C,-0.09111,1.54
CC1COC(=O)O1,CCCCCCC=C,-0.14612,2.47
CC1COC(=O)O1,C1CCC=CC1,-0.13547,2.29
CC1COC(=O)O1,Cc1cccc(c1)C,-0.21001999999999998,3.55
CC1COC(=O)O1,S,-0.06744,1.14
CC1COC(=O)O1,CC(C)OC(C)(C)C,-0.13843,2.34
CC1COC(=O)O1,C(=O)=S,-0.04969,0.84
C(CO)O,[He],0.12955999999999998,-2.19
C(CO)O,[Ar],0.08341,-1.41
C(CO)O,[Xe],0.03135,-0.53
C(CO)O,[HH],0.10353,-1.75
C(CO)O,N#N,0.10708,-1.81
C(CO)O,[N-]=[N+]=O,0.007690000000000001,-0.13
C(CO)O,C(=O)=O,-0.00592,0.1
C(CO)O,O=S=O,-0.11832000000000001,2.0
C(CO)O,C,0.06744,-1.14
C(CO)O,CC,0.03727,-0.63
C(CO)O,CCC,-0.0017699999999999999,0.03
C(CO)O,CCCC,-0.01242,0.21
C(CO)O,CC(C)C,-0.00828,0.14
C(CO)O,CCCCCC,-0.03313,0.56
C(CO)O,CCCCCCC,-0.050289999999999994,0.85
C(CO)O,CCCCCCCC,-0.06744,1.14
C(CO)O,CC(C)C(C)C(C)C,-0.04555,0.77
C(CO)O,CCCCCCCCC,-0.0846,1.43
C(CO)O,C1CCCCC1,-0.06685,1.13
C(CO)O,CCC1CCCCC1,-0.08992,1.52
C(CO)O,C=C,0.02189,-0.37
C(CO)O,CC=C,-0.01952,0.33
C(CO)O,C=CC=C,-0.058570000000000004,0.99
C(CO)O,C#C,-0.029580000000000002,0.5
C(CO)O,C1COCCO1,-0.19345,3.27
C(CO)O,CCC(=O)C,-0.15617999999999999,2.64
C(CO)O,N,-0.13310999999999998,2.25
C(CO)O,C[N+](=O)[O-],-0.1828,3.09
C(CO)O,CCO,-0.20586999999999997,3.48
C(CO)O,c1ccccc1,-0.12009,2.03
C(CO)O,Cc1ccccc1,-0.13902,2.35
C(CO)O,CCc1ccccc1,-0.14731,2.49
C(CO)O,CCCc1ccccc1,-0.15855,2.68
C(CO)O,CC(C)c1ccccc1,-0.15322,2.59
C(CO)O,c1ccc(cc1)Cl,-0.16801,2.84
C(CO)O,CCCCCCCCCC,-0.11654,1.97
C(CO)O,Cc1ccc(cc1)C,-0.14731,2.49
C(CO)O,C[Sn](C)(C)C,-0.053239999999999996,0.9
C(CO)O,CC(C)C=C,-0.03313,0.56
C(CO)O,CCCCC=C,-0.04674,0.79
C(CO)O,CC(=C)C=C,-0.048510000000000005,0.82
C(CO)O,c1(c(c(c(c(c1F)F)F)F)F)F,-0.06862,1.16
C(CO)O,CCCCCC=C,-0.0633,1.07
C(CO)O,Cc1ccccc1C,-0.15796,2.67
C(CO)O,CC1CCCCC1,-0.07099,1.2
C(CO)O,CCCCCCC=C,-0.07868,1.33
C(CO)O,C1CCC=CC1,-0.08223,1.39
C(CO)O,Cc1cccc(c1)C,-0.14849,2.51
C(CO)O,COc1ccccc1,-0.19108,3.23
C(CO)O,c1ccc(cc1)C#N,-0.25201999999999997,4.26
C(CO)O,S,-0.04313,0.7290000000000001
C(CO)O,CCC/C=C/C,-0.04674,0.79
C(CO)O,CCC/C=C\C,-0.053829999999999996,0.91
C(CO)O,CC(=C)CC(C)(C)C,-0.06389,1.08
C(CO)O,c1ccc(cc1)F,-0.12600999999999998,2.13
C(CO)O,c1ccc(cc1)Br,-0.19049000000000002,3.22
C(CO)O,c1ccc(cc1)N,-0.32656,5.52
C(CO)O,c1ccc(cc1)[N+](=O)[O-],-0.26266999999999996,4.44
C(CO)O,c1ccc(cc1)CO,-0.36028000000000004,6.09
C(CO)O,c1ccc2ccccc2c1,-0.24965,4.22
CCCCCC,[He],0.07808999999999999,-1.32
CCCCCC,[Ne],0.06867999999999999,-1.161
CCCCCC,[Ar],0.0194,-0.32799999999999996
CCCCCC,[Kr],-0.00698,0.11800000000000001
CCCCCC,[Xe],-0.04023,0.68
CCCCCC,[Rn],-0.06726,1.137
CCCCCC,[HH],0.053779999999999994,-0.909
CCCCCC,O=O,0.02532,-0.428
CCCCCC,N#N,0.034789999999999995,-0.588
CCCCCC,[N-]=[N+]=O,-0.03195,0.54
CCCCCC,[C-]#[O+],0.028569999999999998,-0.483
CCCCCC,C,0.00148,-0.025
CCCCCC,CC,-0.04478,0.757
CCCCCC,CCC,-0.07808999999999999,1.32
CCCCCC,CCCC,-0.11062999999999999,1.87
CCCCCC,CC(C)C,-0.10116,1.71
CCCCCC,CCCCC,-0.14435,2.44
CCCCCC,CC(C)(C)C,-0.12009,2.03
CCCCCC,CCCCCC,-0.1757,2.97
CCCCCC,CCCC(C)C,-0.16683,2.82
CCCCCC,CCCCCCC,-0.20706,3.5
CCCCCC,CC(C)CC(C)C,-0.1899,3.21
CCCCCC,CCCCCCCC,-0.23485999999999999,3.97
CCCCCC,CC(C)C(C)C(C)C,-0.21771,3.68
CCCCCC,CCCCCCCCC,-0.26681,4.51
CCCCCC,CCC(CC)(CC)CC,-0.25498000000000004,4.31
CCCCCC,C1CCCC1,-0.16032000000000002,2.71
CCCCCC,C1CCCCC1,-0.18339,3.1
CCCCCC,CCC1CCCCC1,-0.23485999999999999,3.97
CCCCCC,C=C,-0.027860000000000003,0.47100000000000003
CCCCCC,CC=C,-0.07608,1.286
CCCCCC,C#C,-0.02248,0.38
CCCCCC,C(F)(F)(F)F,0.02153,-0.364
CCCCCC,CCCl,-0.11288,1.9080000000000001
CCCCCC,C(Cl)(Cl)Cl,-0.15677,2.65
CCCCCC,C(Cl)(Cl)(Cl)Cl,-0.17925,3.03
CCCCCC,CCI,-0.16025999999999999,2.7089999999999996
CCCCCC,COC,-0.07768,1.3130000000000002
CCCCCC,CCCCOCCCC,-0.2564,4.334
CCCCCC,CCOC(C)(C)C,-0.17629,2.98
CCCCCC,CCC(C)(C)OC,-0.19375,3.275
CCCCCC,C1CCOC1,-0.15972999999999998,2.7
CCCCCC,C1COCCO1,-0.17629,2.98
CCCCCC,CC(=O)C,-0.11613,1.963
CCCCCC,CCC(=O)C,-0.14731,2.49
CCCCCC,CCCCC(=O)C,-0.20292000000000002,3.43
CCCCCC,CCCCCC(=O)C,-0.23244,3.929
CCCCCC,CC(=O)OC,-0.12696,2.146
CCCCCC,CCCOC(=O)C,-0.17482,2.955
CCCCCC,CCCCOC(=O)C,-0.21439,3.6239999999999997
CCCCCC,CCC(=O)OC,-0.15807000000000002,2.6719999999999997
CCCCCC,CCCCC(=O)OC,-0.21374,3.613
CCCCCC,CCCCCC(=O)OC,-0.24486,4.138999999999999
CCCCCC,CC#N,-0.10471,1.77
CCCCCC,CCC#N,-0.13163,2.225
CCCCCC,CCCC#N,-0.16257,2.748
CCCCCC,CNC,-0.10772999999999999,1.821
CCCCCC,CCNCC,-0.155,2.62
CCCCCC,CCN(CC)CC,-0.19463,3.29
CCCCCC,C[N+](=O)[O-],-0.1195,2.02
CCCCCC,O,-0.03195,0.54
CCCCCC,CO,-0.06791,1.148
CCCCCC,CCO,-0.09891,1.672
CCCCCC,CCCO,-0.1308,2.211
CCCCCC,CCCCO,-0.16221,2.742
CCCCCC,CCCCCO,-0.20037,3.387
CCCCCC,CCCCCCO,-0.21759,3.678
CCCCCC,CCCCCCCO,-0.24249,4.099
CCCCCC,FS(F)(F)(F)(F)F,-0.01745,0.295
CCCCCC,c1ccccc1,-0.17393,2.94
CCCCCC,Cc1ccccc1,-0.20586999999999997,3.48
CCCCCC,CCc1ccccc1,-0.23201999999999998,3.9219999999999997
CCCCCC,CCCc1ccccc1,-0.24084,4.071000000000001
CCCCCC,c1ccc(cc1)Cl,-0.22599,3.82
CCCCCC,[N]=O,0.019459999999999998,-0.32899999999999996
CCCCCC,CCCCCCCCCC,-0.2971,5.022
CCCCCC,CCBr,-0.13618,2.302
CCCCCC,CN(C)C,-0.11394000000000001,1.926
CCCCCC,CC(C)O,-0.1195,2.02
CCCCCC,c1ccncc1,-0.18162,3.07
CCCCCC,CCOC(=O)C,-0.15617999999999999,2.64
CCCCCC,C1CC1,-0.08578,1.45
CCCCCC,CCC=C,-0.10802,1.8259999999999998
CCCCCC,CC(=C)C,-0.1053,1.78
CCCCCC,CCCCCl,-0.17452,2.95
CCCCCC,CC(C)(C)Cl,-0.14849,2.51
CCCCCC,CC(C)(C)Br,-0.16269,2.75
CCCCCC,C(C(F)(Cl)Cl)(F)(Cl)Cl,-0.19227,3.25
CCCCCC,CCCCCCCCCCO,-0.33366,5.64
CCCCCC,C[Sn](C)(C)C,-0.17925,3.03
CCCCCC,CCC(C)(C)C,-0.15796,2.67
CCCCCC,C(CCl)Cl,-0.16269,2.75
CCCCCC,CCCCl,-0.14612,2.47
CCCCCC,CN,-0.07111,1.202
CCCCCC,CC(C)CO,-0.15506,2.6210000000000004
CCCCCC,CCC(C)O,-0.15423,2.6069999999999998
CCCCCC,CC(C)CCO,-0.1757,2.97
CCCCCC,CC(C)CCC(C)C,-0.21534,3.64
CCCCCC,CC(CCl)Cl,-0.18073,3.055
CCCCCC,CCCCCOC(=O)C,-0.24161,4.084
CCCCCC,CCCCC#N,-0.19286,3.26
CCCCCC,CC[N+](=O)[O-],-0.14849,2.51
CCCCCC,CCC[N+](=O)[O-],-0.1757,2.97
CCCCCC,c1cc(cc(c1)Cl)Cl,-0.26799,4.53
CCCCCC,c1ccc(cc1)F,-0.17995999999999998,3.042
CCCCCC,c1ccc(cc1)Br,-0.24539,4.148
CCCCCC,c1ccc(cc1)N,-0.23545,3.98
CCCCCC,c1ccc(cc1)[N+](=O)[O-],-0.26409,4.4639999999999995
CCCCCC,II,-0.20256,3.424
CCCCCC,CCCCCCCCCCC,-0.32774000000000003,5.54
CCCCCC,CCCCCCCCCCCC,-0.3572,6.037999999999999
CCCCCC,C(CCl)CCl,-0.19227,3.25
CCCCCC,C(CCCl)CCl,-0.21475,3.63
CCCCCC,CCCCCCl,-0.20740999999999998,3.5060000000000002
CCCCCC,CC(=O)C(C)(C)C,-0.18819,3.181
CCCCCC,C1CCC(=O)CC1,-0.21593,3.65
CCCCCC,CCN,-0.09938999999999999,1.68
CCCCCC,CCCN,-0.1337,2.26
CCCCCC,CC(C)N,-0.12069,2.04
CCCCCC,CCCC[N+](=O)[O-],-0.2012,3.4010000000000002
CCCCCC,CCCCCCCCCCCCO,-0.40169,6.79
CCCCCC,CCOCCO,-0.17393,2.94
CCCCCC,CSC,-0.12867,2.175
CCCCCC,CC[Si](CC)(CC)CC,-0.2745,4.64
CCCCCC,[Hg],-0.10294,1.74
CCCCCC,c1ccc(c(c1)Cl)Cl,-0.26621999999999996,4.5
CCCCCC,c1ccc(cc1)C=O,-0.23976999999999998,4.053
CCCCCC,CC(=O)c1ccccc1,-0.26231,4.434
CCCCCC,Cc1ccccc1N,-0.26563000000000003,4.49
CCCCCC,Cc1ccc(cc1)N,-0.26266999999999996,4.44
CCCCC(=O)C,O=O,0.03745,-0.633
CCCCC(=O)C,CCCCC(=O)C,-0.24303000000000002,4.1080000000000005
CCCCCCCO,[He],0.10092999999999999,-1.706
CCCCCCCO,[Ne],0.09128,-1.5430000000000001
CCCCCCCO,[Ar],0.04052,-0.685
CCCCCCCO,[Kr],0.01296,-0.21899999999999997
CCCCCCCO,[Xe],-0.022359999999999998,0.37799999999999995
CCCCCCCO,O=O,0.04407,-0.745
CCCCCCCO,N#N,0.058039999999999994,-0.981
CCCCCCCO,C,0.020880000000000003,-0.353
CCCCCCCO,CC,-0.02603,0.44
CCCCCCCO,CCC,-0.05147,0.87
CCCCCCCO,CCCC,-0.0846,1.43
CCCCCCCO,CC(C)C,-0.07217,1.22
CCCCCCCO,CCCCC,-0.11535999999999999,1.95
CCCCCCCO,CCCCCC,-0.14435,2.44
CCCCCCCO,C1CCCC1,-0.13429000000000002,2.27
CCCCCCCO,C1CCCCC1,-0.1615,2.73
CCCCCCCO,C=C,-0.01846,0.312
CCCCCCCO,C(F)(F)(F)F,0.05407000000000001,-0.914
CCCCCCCO,CCCC#N,-0.18754,3.17
CCCCCCCO,FS(F)(F)(F)(F)F,0.015969999999999998,-0.27
CCCCCCCO,c1ccccc1,-0.16624,2.81
CCCCCCCO,CC1CCCC1,-0.15204,2.57
CCCCCCCO,CC1CCCCC1,-0.18044000000000002,3.05
CCCCCO,[He],0.09643,-1.63
CCCCCO,[Ne],0.08815,-1.49
CCCCCO,[Ar],0.037860000000000005,-0.64
CCCCCO,[Kr],0.01124,-0.19
CCCCCO,[Xe],-0.02307,0.39
CCCCCO,[HH],0.07217,-1.22
CCCCCO,O=O,0.04141,-0.7
CCCCCO,N#N,0.05561,-0.94
CCCCCO,[N-]=[N+]=O,-0.02189,0.37
CCCCCO,[C-]#[O+],0.048510000000000005,-0.82
CCCCCO,C,0.01952,-0.33
CCCCCO,CC,-0.02603,0.44
CCCCCO,CCC,-0.057379999999999994,0.97
CCCCCO,CCCC,-0.08815,1.49
CCCCCO,CC(C)C,-0.0775,1.31
CCCCCO,CCCCC,-0.11477000000000001,1.94
CCCCCO,CCCCCC,-0.14435,2.44
CCCCCO,CCCC(C)C,-0.14317,2.42
CCCCCO,CCCCCCCC,-0.20055,3.39
CCCCCO,C1CCCCC1,-0.16091,2.72
CCCCCO,C=C,-0.02071,0.35
CCCCCO,CC=C,-0.057379999999999994,0.97
CCCCCO,C/C=C/C,-0.09347000000000001,1.58
CCCCCO,C/C=C\C,-0.09702000000000001,1.64
CCCCCO,C=CC=C,-0.0917,1.55
CCCCCO,C(F)(F)(F)F,0.050289999999999994,-0.85
CCCCCO,CCCl,-0.10708,1.81
CCCCCO,C(Cl)Cl,-0.13843,2.34
CCCCCO,CC(F)F,-0.05561,0.94
CCCCCO,COC,-0.08578,1.45
CCCCCO,CCOCC,-0.13547,2.29
CCCCCO,CCCC=O,-0.16032000000000002,2.71
CCCCCO,CC(=O)C,-0.14731,2.49
CCCCCO,CCC(=O)C,-0.1686,2.85
CCCCCO,CCCOC(=O)C,-0.18694000000000002,3.16
CCCCCO,CCCC#N,-0.19404000000000002,3.28
CCCCCO,CCN(CC)CC,-0.21534,3.64
CCCCCO,CO,-0.18162,3.07
CCCCCO,CCO,-0.20173,3.41
CCCCCO,CCCO,-0.23545,3.98
CCCCCO,CCCCO,-0.26326,4.45
CCCCCO,CCCCCO,-0.29284,4.95
CCCCCO,FS(F)(F)(F)(F)F,0.01242,-0.21
CCCCCO,c1ccccc1,-0.16742,2.83
CCCCCO,Cc1ccccc1,-0.19463,3.29
CCCCCO,CCc1ccccc1,-0.21746999999999997,3.676
CCCCCO,c1ccc(cc1)Cl,-0.22599,3.82
CCCCCO,CC(C)O,-0.21652,3.66
CCCCCO,C(=S)=S,-0.14376,2.43
CCCCCO,CCOC(=O)C,-0.16801,2.84
CCCCCO,CC(C)CC(C)(C)C,-0.1686,2.85
CCCCCO,CCC=C,-0.08696,1.47
CCCCCO,CC(=C)C,-0.08696,1.47
CCCCCO,CCC(C)CC,-0.14435,2.44
CCCCCO,CCC(C)(C)C,-0.12719,2.15
CCCCCO,CC(C)C(C)C,-0.13666,2.31
CCCCCO,CCCCC=C,-0.14317,2.42
CCCCCO,C=CC=O,-0.13962,2.36
CCCCCO,CC1CCCC1,-0.15204,2.57
CCCCCO,CCCCCC=C,-0.17038,2.88
CCCCCO,Cc1ccccc1C,-0.22480999999999998,3.8
CO,[He],0.08578,-1.45
CO,[Ne],0.0775,-1.31
CO,[Ar],0.03372,-0.57
CO,[Kr],0.01124,-0.19
CO,[Xe],-0.018930000000000002,0.32
CO,[Rn],-0.04023,0.68
CO,[HH],0.06034,-1.02
CO,O=O,0.0355,-0.6
CO,N#N,0.04792,-0.81
CO,[N-]=[N+]=O,-0.03017,0.51
CO,[C-]#[O+],0.03845,-0.65
CO,C(=O)=O,-0.036680000000000004,0.62
CO,O=S=O,-0.12305,2.08
CO,C,0.015969999999999998,-0.27
CO,CC,-0.02248,0.38
CO,CCC,-0.04969,0.84
CO,CCCC,-0.07513,1.27
CO,CC(C)C,-0.0633,1.07
CO,CCCCC,-0.0982,1.66
CO,CC(C)(C)C,-0.08282,1.4
CO,CCCCCC,-0.12128,2.05
CO,CCCC(C)C,-0.11565999999999999,1.955
CO,CCCCCCC,-0.1479,2.5
CO,CC(C)CC(C)C,-0.12944,2.188
CO,CCCCCCCC,-0.16683,2.82
CO,CC(C)C(C)C(C)C,-0.15725,2.658
CO,CCCCCCCCC,-0.19108,3.23
CO,CCC(CC)(CC)CC,-0.18635,3.15
CO,C1CCCC1,-0.11359000000000001,1.92
CO,C1CCCCC1,-0.14376,2.43
CO,CCC1CCCCC1,-0.17517,2.9610000000000003
CO,C=C,-0.02426,0.41
CO,CC=C,-0.0562,0.95
CO,C/C=C/C,-0.08578,1.45
CO,C/C=C\C,-0.08932999999999999,1.51
CO,C=CC=C,-0.09287999999999999,1.57
CO,C#C,-0.061529999999999994,1.04
CO,C(F)(F)(F)F,0.04319,-0.73
CO,CCCl,-0.11417999999999999,1.93
CO,C(Cl)Cl,-0.15086,2.55
CO,C(Cl)(Cl)Cl,-0.18339,3.1
CO,C(Cl)(Cl)(Cl)Cl,-0.15736,2.66
CO,C=C(Cl)Cl,-0.12778,2.16
CO,CI,-0.13902,2.35
CO,CCI,-0.155,2.62
CO,CC(F)F,-0.08282,1.4
CO,COC,-0.09998,1.69
CO,CCOCC,-0.14139000000000002,2.39
CO,CCCOCCC,-0.17097,2.89
CO,CC(C)OC(C)C,-0.16565,2.8
CO,CCCCOCCCC,-0.21534,3.64
CO,CCOC(C)(C)C,-0.17629,2.98
CO,CCC(C)(C)OC,-0.18458,3.12
CO,CC(C)(C)OC,-0.16387000000000002,2.77
CO,C1CCOC1,-0.19227,3.25
CO,C1COCCO1,-0.21416,3.62
CO,CCC=O,-0.16505,2.79
CO,CCCC=O,-0.18813,3.18
CO,CCCCC=O,-0.2112,3.57
CO,CC(=O)C,-0.17097,2.89
CO,CCC(=O)C,-0.19759000000000002,3.34
CO,CCCC(=O)C,-0.21179,3.58
CO,CCCCC(=O)C,-0.22599,3.82
CO,CCCCCC(=O)C,-0.25911999999999996,4.38
CO,CCCC(=O)CCC,-0.25024,4.23
CO,CC(=O)OC,-0.17275,2.92
CO,CCCOC(=O)C,-0.20883000000000002,3.53
CO,CCCCOC(=O)C,-0.2325,3.93
CO,CCC(=O)OC,-0.18754,3.17
CO,CCCC(=O)OC,-0.21001999999999998,3.55
CO,CCCCC(=O)OC,-0.23131,3.91
CO,CCCCCC(=O)OC,-0.2532,4.28
CO,CC#N,-0.17511,2.96
CO,CCC#N,-0.21356999999999998,3.61
CO,CCCC#N,-0.22599,3.82
CO,N,-0.1337,2.26
CO,CNC,-0.15204,2.57
CO,CCNCC,-0.22066,3.73
CO,CCN(CC)CC,-0.22716999999999998,3.84
CO,C[N+](=O)[O-],-0.20232,3.42
CO,O,-0.24078000000000002,4.07
CO,CO,-0.21297,3.6
CO,CCO,-0.23013000000000003,3.89
CO,CCCO,-0.25793,4.36
CO,CCCCO,-0.26976999999999995,4.56
CO,CCCCCO,-0.29166,4.93
CO,CCCCCCO,-0.31295,5.29
CO,CCCCCCCO,-0.32952,5.57
CO,CCCCCCCCO,-0.34845,5.89
CO,CCCCCCCCCO,-0.36975,6.25
CO,C(C(F)(F)F)O,-0.24788000000000002,4.19
CO,C(C(F)(F)F)(C(F)(F)F)O,-0.28336999999999996,4.79
CO,CCS,-0.13015,2.2
CO,FS(F)(F)(F)(F)F,0.01242,-0.21
CO,c1ccccc1,-0.16387000000000002,2.77
CO,Cc1ccccc1,-0.18872,3.19
CO,CCc1ccccc1,-0.21179,3.58
CO,CCCc1ccccc1,-0.23131,3.91
CO,CC(C)c1ccccc1,-0.22480999999999998,3.8
CO,CCCCc1ccccc1,-0.2532,4.28
CO,CC(C)(C)c1ccccc1,-0.2396,4.05
CO,CCCCCCc1ccccc1,-0.3094,5.23
CO,c1ccc(cc1)Cl,-0.21711,3.67
CO,[N]=O,0.027039999999999998,-0.457
CCOCC,[Ar],0.013019999999999999,-0.22
CCOCC,[Rn],-0.06596,1.115
CCOCC,[HH],0.04969,-0.84
CCOCC,O=O,0.02071,-0.35
CCOCC,N#N,0.03254,-0.55
CCOCC,[C-]#[O+],0.02366,-0.4
CCOCC,C,-0.00118,0.02
CCOCC,CC,-0.050289999999999994,0.85
CCOCC,CC(C)C,-0.10116,1.71
CCOCC,CCCCCCCC,-0.2319,3.92
CCOCC,C1CCCCC1,-0.18162,3.07
CCOCC,C(Cl)Cl,-0.16801,2.84
CCOCC,C(Cl)(Cl)(Cl)Cl,-0.19049000000000002,3.22
CCOCC,CCI,-0.16328,2.76
CCOCC,CCOCC,-0.15617999999999999,2.64
CCOCC,CCOC(C)(C)C,-0.19227,3.25
CCOCC,C1COCCO1,-0.19996,3.38
CCOCC,CC(=O)C,-0.15204,2.57
CCOCC,CCC(=O)C,-0.17925,3.03
CCOCC,CC#N,-0.15736,2.66
CCOCC,CCN(CC)CC,-0.19286,3.26
CCOCC,C[N+](=O)[O-],-0.1828,3.09
CCOCC,CO,-0.14672000000000002,2.48
CCOCC,Cc1ccccc1,-0.22007,3.72
CCOCC,CN(C)C,-0.10235,1.73
CCOCC,CCCCCl,-0.1899,3.21
CCOCC,CC(C)(C)Cl,-0.14672000000000002,2.48
CCOCC,CC(C)(C)Br,-0.16683,2.82
CCOCC,C(CCl)Cl,-0.19286,3.26
CCOCC,c1(c(c(c(c(c1F)F)F)F)F)F,-0.18517,3.13
CCOCC,CC(Cl)(Cl)Cl,-0.17925,3.03
CCCCOP(=O)(OCCCC)OCCCC,[Ar],0.042,-0.71
CCCCOP(=O)(OCCCC)OCCCC,C(=O)=O,-0.029580000000000002,0.5
CCCCOP(=O)(OCCCC)OCCCC,C,0.018930000000000002,-0.32
CCCCOP(=O)(OCCCC)OCCCC,CC,-0.02366,0.4
CCCCOP(=O)(OCCCC)OCCCC,CCC,-0.05679,0.96
CCCCOP(=O)(OCCCC)OCCCC,CCCC,-0.08401,1.42
CCCCOP(=O)(OCCCC)OCCCC,CCCCC,-0.11180999999999999,1.89
CCCCOP(=O)(OCCCC)OCCCC,CCCCCC,-0.14021,2.37
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCC,-0.1686,2.85
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCCC,-0.19463,3.29
CCCCOP(=O)(OCCCC)OCCCC,C1CCCCC1,-0.15736,2.66
CCCCOP(=O)(OCCCC)OCCCC,CCC1CCCCC1,-0.2041,3.45
CCCCOP(=O)(OCCCC)OCCCC,C=C,-0.02248,0.38
CCCCOP(=O)(OCCCC)OCCCC,C=CC=C,-0.09938999999999999,1.68
CCCCOP(=O)(OCCCC)OCCCC,C(Cl)(Cl)Cl,-0.21356999999999998,3.61
CCCCOP(=O)(OCCCC)OCCCC,C(Cl)(Cl)(Cl)Cl,-0.17629,2.98
CCCCOP(=O)(OCCCC)OCCCC,C1COCCO1,-0.19203,3.2460000000000004
CCCCOP(=O)(OCCCC)OCCCC,CC(=O)C,-0.14849,2.51
CCCCOP(=O)(OCCCC)OCCCC,CCC(=O)C,-0.17629,2.98
CCCCOP(=O)(OCCCC)OCCCC,CCCC(=O)C,-0.19937,3.37
CCCCOP(=O)(OCCCC)OCCCC,CC(=O)OC,-0.14908,2.52
CCCCOP(=O)(OCCCC)OCCCC,CCCOC(=O)C,-0.19641,3.32
CCCCOP(=O)(OCCCC)OCCCC,CCCCOC(=O)C,-0.22361999999999999,3.78
CCCCOP(=O)(OCCCC)OCCCC,CC#N,-0.17275,2.92
CCCCOP(=O)(OCCCC)OCCCC,CCC#N,-0.19049000000000002,3.22
CCCCOP(=O)(OCCCC)OCCCC,CCCC#N,-0.21416,3.62
CCCCOP(=O)(OCCCC)OCCCC,N,-0.050289999999999994,0.85
CCCCOP(=O)(OCCCC)OCCCC,O,-0.1828,3.09
CCCCOP(=O)(OCCCC)OCCCC,CO,-0.18162,3.07
CCCCOP(=O)(OCCCC)OCCCC,CCO,-0.19818,3.35
CCCCOP(=O)(OCCCC)OCCCC,CCCO,-0.23071999999999998,3.9
CCCCOP(=O)(OCCCC)OCCCC,c1ccccc1,-0.17984,3.04
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccccc1,-0.20883000000000002,3.53
CCCCOP(=O)(OCCCC)OCCCC,CCc1ccccc1,-0.23426999999999998,3.96
CCCCOP(=O)(OCCCC)OCCCC,CCCc1ccccc1,-0.25971,4.39
CCCCOP(=O)(OCCCC)OCCCC,CC(C)c1ccccc1,-0.25143000000000004,4.25
CCCCOP(=O)(OCCCC)OCCCC,[N]=O,0.03455,-0.584
CCCCOP(=O)(OCCCC)OCCCC,CC(C)O,-0.20528000000000002,3.47
CCCCOP(=O)(OCCCC)OCCCC,C(=S)=S,-0.13429000000000002,2.27
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccc(cc1)C,-0.23485999999999999,3.97
CCCCOP(=O)(OCCCC)OCCCC,CCOC(=O)C,-0.17097,2.89
CCCCOP(=O)(OCCCC)OCCCC,CC(C)CC(C)(C)C,-0.16742,2.83
CCCCOP(=O)(OCCCC)OCCCC,CCCCCl,-0.1757,2.97
CCCCOP(=O)(OCCCC)OCCCC,CCCC=C,-0.11359000000000001,1.92
CCCCOP(=O)(OCCCC)OCCCC,CCCCC=C,-0.14317,2.42
CCCCOP(=O)(OCCCC)OCCCC,C(CCl)Cl,-0.19582,3.31
CCCCOP(=O)(OCCCC)OCCCC,CCCCl,-0.14849,2.51
CCCCOP(=O)(OCCCC)OCCCC,CCCCCC=C,-0.16742,2.83
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccccc1C,-0.24195999999999998,4.09
CCCCOP(=O)(OCCCC)OCCCC,CC1CCCCC1,-0.17452,2.95
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCC=C,-0.19463,3.29
CCCCOP(=O)(OCCCC)OCCCC,C(=C(Cl)Cl)Cl,-0.19582,3.31
CCCCOP(=O)(OCCCC)OCCCC,Cc1cccc(c1)C,-0.23545,3.98
CCCCOP(=O)(OCCCC)OCCCC,S,-0.07513,1.27
CCCCOP(=O)(OCCCC)OCCCC,CCCCCCl,-0.20351,3.44
CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC,-0.46026000000000006,7.78
CCCCOP(=O)(OCCCC)OCCCC,C(=O)=S,-0.06508,1.1
CCCCOP(=O)(OCCCC)OCCCC,CCCC1CCCCC1,-0.20824,3.52
CCCCOP(=O)(OCCCC)OCCCC,C[C@H]1CC[C@H](CC1)C,-0.19759000000000002,3.34
CCCCOP(=O)(OCCCC)OCCCC,C[C@H]1CC[C@@H](CC1)C,-0.19227,3.25
