deltaG,solute,solvent
-5.66170611,c1ccc(cc1)Cl,CCOC(=O)C
-3.53340642,CCBr,CCOC(=O)C
-4.13368425,CC(C)O,CCOC(=O)C
-3.12407367,C(=S)=S,CCOC(=O)C
-4.50219903,CCOC(=O)C,CCOC(=O)C
-6.09825084,CN(C)C=O,CCOC(=O)C
-2.55123843,CC(=C)C,CCOC(=O)C
-4.31102334,CCCCCl,CCOC(=O)C
-3.5608490099999996,CC(C)(C)Cl,CCOC(=O)C
-4.0518177,CC(C)(C)Br,CCOC(=O)C
-4.62488355,C(C(F)(Cl)Cl)(F)(Cl)Cl,CCOC(=O)C
-3.6016669800000005,C[Sn](C)(C)C,CCOC(=O)C
-2.9605711799999996,CCCC=C,CCOC(=O)C
-2.74218351,CC(C)C=C,CCOC(=O)C
-3.28780677,CC(=C)C=C,CCOC(=O)C
-4.72035609,C(CCl)Cl,CCOC(=O)C
-3.6835335299999996,CCCCl,CCOC(=O)C
-4.06542369,CCCCCC=C,CCOC(=O)C
-4.30594992,CC(C)CCC(C)C,CCOC(=O)C
-5.6753121,Cc1ccccn1,CCOC(=O)C
-6.6577107,CS(=O)C,CCOC(=O)C
-7.48975158,c1ccc(cc1)N,CCOC(=O)C
-6.30303252,c1cc(oc1)C=O,CCOC(=O)C
-4.0518177,CC(C)C=O,CCOC(=O)C
-3.39711591,C(C(F)(Cl)Cl)(F)(F)Cl,CCOC(=O)C
-4.59767157,C=CCCCC=C,CCOC(=O)C
1.44615531,[HH],CCC(=O)C
0.76401093,O=O,CCC(=O)C
1.0778711399999998,N#N,CCC(=O)C
-0.94135002,[N-]=[N+]=O,CCC(=O)C
-0.9821679900000001,C(=O)=O,CCC(=O)C
-2.3056387799999998,CCCC,CCC(=O)C
-2.82405006,CCCCC,CCC(=O)C
-3.4379338799999997,CCCCCC,CCC(=O)C
-3.2605947900000003,CCCC(C)C,CCC(=O)C
-4.13368425,CCCCCCC,CCC(=O)C
-3.65632155,CC(C)CC(C)C,CCC(=O)C
-4.7067501,CCCCCCCC,CCC(=O)C
-4.39288989,CC(C)C(C)C(C)C,CCC(=O)C
-5.320633920000001,CCCCCCCCC,CCC(=O)C
-3.75179409,C1CCCCC1,CCC(=O)C
-4.8158286299999995,CCC1CCCCC1,CCC(=O)C
-1.5416278500000002,CC=C,CCC(=O)C
-4.0518177,C(Cl)Cl,CCC(=O)C
-4.72035609,C(Cl)(Cl)Cl,CCC(=O)C
-4.14729024,C(Cl)(Cl)(Cl)Cl,CCC(=O)C
-3.4789824599999997,CI,CCC(=O)C
-4.06542369,CCI,CCC(=O)C
-4.3656779100000005,CCCOCCC,CCC(=O)C
-3.9019212,CC(C)OC(C)C,CCC(=O)C
-5.0206103099999995,C1COCCO1,CCC(=O)C
-3.84726663,CCC=O,CCC(=O)C
-3.98378775,CC(=O)C,CCC(=O)C
-4.58406558,CCC(=O)C,CCC(=O)C
-4.46115045,CC#N,CCC(=O)C
-1.93735461,N,CCC(=O)C
-4.16112684,CCN(CC)CC,CCC(=O)C
-4.97956173,C[N+](=O)[O-],CCC(=O)C
-3.83366064,CO,CCC(=O)C
-4.3248599400000005,CCO,CCC(=O)C
-4.96595574,CCCO,CCC(=O)C
-5.66170611,CCCCO,CCC(=O)C
-6.957734309999999,CCCCCCO,CCC(=O)C
-8.19933855,CCCCCCCCO,CCC(=O)C
-4.48836243,c1ccccc1,CCC(=O)C
-5.10247686,Cc1ccccc1,CCC(=O)C
-5.64810012,CCc1ccccc1,CCC(=O)C
-6.029990280000001,CCCCCCCCCC,CCC(=O)C
-3.53340642,CCBr,CCC(=O)C
-4.543017,CC(C)O,CCC(=O)C
-3.0968616900000003,C(=S)=S,CCC(=O)C
-5.37528849,c1ccncc1,CCC(=O)C
-4.48836243,CCOC(=O)C,CCC(=O)C
-6.41211105,CN(C)C=O,CCC(=O)C
-4.0518177,CC(C)CC(C)(C)C,CCC(=O)C
-3.65632155,CC(C)(C)Cl,CCC(=O)C
-2.87870463,CCCC=C,CCC(=O)C
-2.71497153,CC(C)C=C,CCC(=O)C
-3.2742007799999997,CC(=C)C=C,CCC(=O)C
-4.78861665,C(CCl)Cl,CCC(=O)C
-3.6835335299999996,CCCCl,CCC(=O)C
-5.41610646,CC(=O)O,CCC(=O)C
-5.42971245,CC(C)CO,CCC(=O)C
-5.18434341,CCC(C)O,CCC(=O)C
-4.7067501,CC(C)(C)O,CCC(=O)C
-4.1200782600000005,CC1CCCCC1,CCC(=O)C
-4.2838113600000005,CC(C)CCC(C)C,CCC(=O)C
-3.7107455099999997,CCOC=O,CCC(=O)C
-3.9973937400000006,C1CCC=CC1,CCC(=O)C
-4.97956173,C(=C(Cl)Cl)(Cl)Cl,CCC(=O)C
-5.25237336,CC[N+](=O)[O-],CCC(=O)C
-4.33846593,CC(=C)CC(C)(C)C,CCC(=O)C
-3.3560673299999997,C(C(F)(Cl)Cl)(F)(F)Cl,CCC(=O)C
-4.39288989,CC(=CC(C)(C)C)C,CCC(=O)C
-4.40649588,C1C=CCC=C1,CCC(=O)C
-2.80906041,CCCCC,CCCCOCCOCCOCCCC
-3.48428649,CCCCCC,CCCCOCCOCCOCCCC
-4.154208540000001,CCCCCCC,CCCCOCCOCCOCCCC
-3.8730949499999996,C1CCCCC1,CCCCOCCOCCOCCCC
-3.828126,C(Cl)Cl,CCCCOCCOCCOCCCC
-4.52387637,C(Cl)(Cl)Cl,CCCCOCCOCCOCCCC
-4.15282488,C(Cl)(Cl)(Cl)Cl,CCCCOCCOCCOCCCC
-3.0163788,CCOCC,CCCCOCCOCCOCCCC
-3.6235749299999997,CC(C)OC(C)C,CCCCOCCOCCOCCCC
-3.4476195,CC(C)(C)OC,CCCCOCCOCCOCCCC
-3.88278057,C1CCOC1,CCCCOCCOCCOCCCC
-4.54163334,C1COCCO1,CCCCOCCOCCOCCCC
-3.28919043,CC(=O)C,CCCCOCCOCCOCCCC
-3.9182945099999995,CCC(=O)C,CCCCOCCOCCOCCCC
-3.4584581699999997,CC(=O)OC,CCCCOCCOCCOCCCC
-4.58268192,CCCOC(=O)C,CCCCOCCOCCOCCCC
-5.24291835,CCCCOC(=O)C,CCCCOCCOCCOCCCC
-3.71904747,CC#N,CCCCOCCOCCOCCCC
-3.75041043,O,CCCCOCCOCCOCCCC
-3.4393175400000007,CO,CCCCOCCOCCOCCCC
-3.828126,CCO,CCCCOCCOCCOCCCC
-4.20056115,c1ccccc1,CCCCOCCOCCOCCCC
-4.90184616,Cc1ccccc1,CCCCOCCOCCOCCCC
-5.492668980000001,c1ccc(cc1)Cl,CCCCOCCOCCOCCCC
-3.9863244600000005,CC(C)O,CCCCOCCOCCOCCCC
-5.52656865,Cc1ccc(cc1)C,CCCCOCCOCCOCCCC
-5.13776019,c1ccncc1,CCCCOCCOCCOCCCC
-3.98770812,CCOC(=O)C,CCCCOCCOCCOCCCC
-4.06680735,CCCCCl,CCCCOCCOCCOCCCC
-4.49804805,C(CCl)Cl,CCCCOCCOCCOCCCC
-5.05474059,CC(C)CO,CCCCOCCOCCOCCCC
-5.7052914,Cc1ccccc1C,CCCCOCCOCCOCCCC
-4.10370495,CC(Cl)(Cl)Cl,CCCCOCCOCCOCCCC
-4.57576362,C(=C(Cl)Cl)Cl,CCCCOCCOCCOCCCC
-2.8526457,COC=O,CCCCOCCOCCOCCCC
-5.556778560000001,Cc1cccc(c1)C,CCCCOCCOCCOCCCC
-2.52794682,CC=O,CCCCOCCOCCOCCCC
-3.5880609900000002,CC(C)C=O,CCCCOCCOCCOCCCC
-4.63848954,C=CCO,CCCCOCCOCCOCCCC
-3.15682029,C(C(F)(Cl)Cl)(F)(F)Cl,CCCCOCCOCCOCCCC
-2.882625,C(F)(Cl)(Cl)Cl,CCCCOCCOCCOCCCC
-5.897850749999999,C=Cc1ccccc1,CCCCOCCOCCOCCCC
-4.045130009999999,COC(=O)C=C,CCCCOCCOCCOCCCC
-3.2442214799999998,c1ccoc1,CCCCOCCOCCOCCCC
1.61127207,[Ar],CC(CO)O
1.68483666,O=O,CC(CO)O
2.12829969,N#N,CC(CO)O
0.07356459,C(=O)=O,CC(CO)O
-1.78169286,CCCCCC,CC(CO)O
-2.25513519,CCCCCCC,CC(CO)O
-2.72304288,CCCCCCCC,CC(CO)O
-3.1870301999999997,CCCCCCCCC,CC(CO)O
-2.45023125,C1CCCCC1,CC(CO)O
-3.1828792200000002,CCC1CCCCC1,CC(CO)O
-2.9495019000000005,C(Cl)Cl,CC(CO)O
-3.49927614,C(Cl)(Cl)Cl,CC(CO)O
-2.9905504799999996,C(Cl)(Cl)(Cl)Cl,CC(CO)O
-2.62757034,CC(C)OC(C)C,CC(CO)O
-3.15682029,c1ccccc1,CC(CO)O
-3.61250565,Cc1ccccc1,CC(CO)O
-4.0218384,CCc1ccccc1,CC(CO)O
-4.36014327,c1ccc(cc1)Cl,CC(CO)O
-4.03014036,Cc1ccc(cc1)C,CC(CO)O
-2.15412801,CC(C)CC(C)(C)C,CC(CO)O
-2.29872048,CC(C)(C)Cl,CC(CO)O
-1.9440423,CCCCC=C,CC(CO)O
-2.4230192699999997,CCCCCC=C,CC(CO)O
-4.2319241100000005,Cc1ccccc1C,CC(CO)O
-2.68360857,CC1CCCCC1,CC(CO)O
-2.8895432999999997,CCCCCCC=C,CC(CO)O
-2.75717316,C1CCC=CC1,CC(CO)O
-4.045130009999999,Cc1cccc(c1)C,CC(CO)O
-8.57707773,CC(CO)O,CC(CO)O
-2.46106992,C1CO1,CC(CO)O
2.4910492200000003,[He],C1CCCCCCC1
2.18825829,[Ne],C1CCCCCCC1
0.85533249,[Ar],C1CCCCCCC1
0.27834627,[Kr],C1CCCCCCC1
0.96994566,O=O,C1CCCCCCC1
1.31655249,N#N,C1CCCCCCC1
1.10785044,[C-]#[O+],C1CCCCCCC1
-0.13098648,C(=O)=O,C1CCCCCCC1
0.40794909,C,C1CCCCCCC1
1.2469082700000003,C(F)(F)(F)F,C1CCCCCCC1
0.37520247,FS(F)(F)(F)(F)F,C1CCCCCCC1
-6.7873135200000005,CCCCCCOC(=O)C,CCCCCCOC(=O)C
-1.41894333,CCC,CCC(C)(C)O
-2.15551167,CCCC,CCC(C)(C)O
-1.92351801,CC(C)C,CCC(C)(C)O
-1.39150074,CC=C,CCC(C)(C)O
-2.23737822,C/C=C/C,CCC(C)(C)O
-2.31924477,C/C=C\C,CCC(C)(C)O
-2.15551167,C=CC=C,CCC(C)(C)O
-2.49658386,CCCl,CCC(C)(C)O
-1.36428876,CC(F)F,CCC(C)(C)O
-2.2237722300000002,COC,CCC(C)(C)O
-2.10108771,CCC=C,CCC(C)(C)O
-2.08725111,CC(=C)C,CCC(C)(C)O
-5.42832879,CCC(C)(C)O,CCC(C)(C)O
1.44615531,[Ar],CC1COC(=O)O1
1.9917785700000001,[HH],CC1COC(=O)O1
1.6371003899999998,N#N,CC1COC(=O)O1
-0.8594834699999999,C(=O)=O,CC1COC(=O)O1
-3.2469888,O=S=O,CC1COC(=O)O1
0.8186654999999999,C,CC1COC(=O)O1
-0.13652112,CC,CC1COC(=O)O1
-0.58667184,CCC,CC1COC(=O)O1
-1.20055566,CCCC,CC1COC(=O)O1
-0.8730894600000001,CC(C)C,CC1COC(=O)O1
-1.66431237,CCCCC,CC1COC(=O)O1
-2.08725111,CCCCCC,CC1COC(=O)O1
-1.9781725799999998,CCCC(C)C,CC1COC(=O)O1
-2.56484442,CCCCCCC,CC1COC(=O)O1
-2.21016624,CC(C)CC(C)C,CC1COC(=O)O1
-3.0832557000000005,CCCCCCCC,CC1COC(=O)O1
-2.86486803,CC(C)C(C)C(C)C,CC1COC(=O)O1
-3.45153987,CCCCCCCCC,CC1COC(=O)O1
-2.6603169600000003,C1CCCCC1,CC1COC(=O)O1
-3.4107219,CCC1CCCCC1,CC1COC(=O)O1
-0.24559965,C=C,CC1COC(=O)O1
-0.9821679900000001,CC=C,CC1COC(=O)O1
-1.96456659,C=CC=C,CC1COC(=O)O1
-3.4789824599999997,C(Cl)Cl,CC1COC(=O)O1
-3.92913318,C(Cl)(Cl)Cl,CC1COC(=O)O1
-3.6971395200000003,CCI,CC1COC(=O)O1
-2.5784504100000003,CCOCC,CC1COC(=O)O1
-2.90591661,CC(C)OC(C)C,CC1COC(=O)O1
-3.05604372,CCOC(C)(C)C,CC1COC(=O)O1
-3.53340642,CCC(C)(C)OC,CC1COC(=O)O1
-3.05604372,CC(C)(C)OC,CC1COC(=O)O1
-4.33846593,CCC(=O)C,CC1COC(=O)O1
-4.74756807,CCCC(=O)C,CC1COC(=O)O1
-2.90591661,CCN(CC)CC,CC1COC(=O)O1
-4.17473283,O,CC1COC(=O)O1
-3.8744786099999997,c1ccccc1,CC1COC(=O)O1
-4.3656779100000005,Cc1ccccc1,CC1COC(=O)O1
-4.8158286299999995,CCc1ccccc1,CC1COC(=O)O1
-4.0518177,CCCCCCCCCC,CC1COC(=O)O1
-4.82943462,Cc1ccc(cc1)C,CC1COC(=O)O1
-2.76939549,CC(C)(C)Cl,CC1COC(=O)O1
-3.31524936,CC(C)(C)Br,CC1COC(=O)O1
-2.2645901999999998,C[Sn](C)(C)C,CC1COC(=O)O1
-2.36029335,CCCCC=C,CC1COC(=O)O1
-2.4421599,CC(=C)C=C,CC1COC(=O)O1
-4.3248599400000005,C(CCl)Cl,CC1COC(=O)O1
-2.41471731,CC1CCCC1,CC1COC(=O)O1
-5.06142828,Cc1ccccc1C,CC1COC(=O)O1
-2.9195225999999996,CC1CCCCC1,CC1COC(=O)O1
-2.64671097,CC(C)CCC(C)C,CC1COC(=O)O1
-2.10108771,CC=C(C)C,CC1COC(=O)O1
-3.36967332,CCCCCCC=C,CC1COC(=O)O1
-3.12407367,C1CCC=CC1,CC1COC(=O)O1
-4.84327122,Cc1cccc(c1)C,CC1COC(=O)O1
-1.55523384,S,CC1COC(=O)O1
-3.1923342299999997,CC(C)OC(C)(C)C,CC1COC(=O)O1
-1.14590109,C(=O)=S,CC1COC(=O)O1
2.9877831599999993,[He],C(CO)O
1.92351801,[Ar],C(CO)O
0.7229623500000001,[Xe],C(CO)O
2.3875053299999998,[HH],C(CO)O
2.4693718799999997,N#N,C(CO)O
0.17733909000000003,[N-]=[N+]=O,C(CO)O
-0.13652112,C(=O)=O,C(CO)O
-2.72857752,O=S=O,C(CO)O
1.55523384,C,C(CO)O
0.8594834699999999,CC,C(CO)O
-0.04081797,CCC,C(CO)O
-0.28641762,CCCC,C(CO)O
-0.19094508,CC(C)C,C(CO)O
-0.76401093,CCCCCC,C(CO)O
-1.15973769,CCCCCCC,C(CO)O
-1.55523384,CCCCCCCC,C(CO)O
-1.05042855,CC(C)C(C)C(C)C,C(CO)O
-1.9509606,CCCCCCCCC,C(CO)O
-1.5416278500000002,C1CCCCC1,C(CO)O
-2.07364512,CCC1CCCCC1,C(CO)O
0.50480529,C=C,C(CO)O
-0.45015072,CC=C,C(CO)O
-1.35068277,C=CC=C,C(CO)O
-0.68214438,C#C,C(CO)O
-4.46115045,C1COCCO1,C(CO)O
-3.6016669800000005,CCC(=O)C,C(CO)O
-3.0696497099999993,N,C(CO)O
-4.2155508,C[N+](=O)[O-],C(CO)O
-4.74756807,CCO,C(CO)O
-2.76939549,c1ccccc1,C(CO)O
-3.20594022,Cc1ccccc1,C(CO)O
-3.39711591,CCc1ccccc1,C(CO)O
-3.65632155,CCCc1ccccc1,C(CO)O
-3.53340642,CC(C)c1ccccc1,C(CO)O
-3.8744786099999997,c1ccc(cc1)Cl,C(CO)O
-2.68752894,CCCCCCCCCC,C(CO)O
-3.39711591,Cc1ccc(cc1)C,C(CO)O
-1.2277676400000002,C[Sn](C)(C)C,C(CO)O
-0.76401093,CC(C)C=C,C(CO)O
-1.0778711399999998,CCCCC=C,C(CO)O
-1.11868911,CC(=C)C=C,C(CO)O
-1.58244582,c1(c(c(c(c(c1F)F)F)F)F)F,C(CO)O
-1.4597612999999998,CCCCCC=C,C(CO)O
-3.6427155599999996,Cc1ccccc1C,C(CO)O
-1.6371003899999998,CC1CCCCC1,C(CO)O
-1.81443948,CCCCCCC=C,C(CO)O
-1.8963060299999999,C1CCC=CC1,C(CO)O
-3.4243278900000003,Cc1cccc(c1)C,C(CO)O
-4.40649588,COc1ccccc1,C(CO)O
-5.8118332200000005,c1ccc(cc1)C#N,C(CO)O
-0.9946209300000001,S,C(CO)O
-1.0778711399999998,CCC/C=C/C,C(CO)O
-1.24137363,CCC/C=C\C,C(CO)O
-1.47336729,CC(=C)CC(C)(C)C,C(CO)O
-2.90591661,c1ccc(cc1)F,C(CO)O
-4.39288989,c1ccc(cc1)Br,C(CO)O
-7.53080016,c1ccc(cc1)N,C(CO)O
-6.05743287,c1ccc(cc1)[N+](=O)[O-],C(CO)O
-8.308417080000002,c1ccc(cc1)CO,C(CO)O
-5.75717865,c1ccc2ccccc2c1,C(CO)O
1.8008334899999998,[He],CCCCCC
1.58382948,[Ne],CCCCCC
0.4473834,[Ar],CCCCCC
-0.16096578,[Kr],CCCCCC
-0.92774403,[Xe],CCCCCC
-1.55108286,[Rn],CCCCCC
1.2402205800000001,[HH],CCCCCC
0.5839045199999999,O=O,CCCCCC
0.8022921899999998,N#N,CCCCCC
-0.73679895,[N-]=[N+]=O,CCCCCC
0.6588527700000001,[C-]#[O+],CCCCCC
0.03413028,C,CCCCCC
-1.03267158,CC,CCCCCC
-1.8008334899999998,CCC,CCCCCC
-2.55123843,CCCC,CCCCCC
-2.33285076,CC(C)C,CCCCCC
-3.32885535,CCCCC,CCCCCC
-2.76939549,CC(C)(C)C,CCCCCC
-4.0518177,CCCCCC,CCCCCC
-3.84726663,CCCC(C)C,CCCCCC
-4.7750106599999995,CCCCCCC,CCCCCC
-4.3792839,CC(C)CC(C)C,CCCCCC
-5.41610646,CCCCCCCC,CCCCCC
-5.0206103099999995,CC(C)C(C)C(C)C,CCCCCC
-6.15290541,CCCCCCCCC,CCCCCC
-5.880093780000001,CCC(CC)(CC)CC,CCCCCC
-3.6971395200000003,C1CCCC1,CCCCCC
-4.22915679,C1CCCCC1,CCCCCC
-5.41610646,CCC1CCCCC1,CCCCCC
-0.6424794600000001,C=C,CCCCCC
-1.7544808799999998,CC=C,CCCCCC
-0.51841128,C#C,CCCCCC
0.49650333,C(F)(F)(F)F,CCCCCC
-2.6031256799999998,CCCl,CCCCCC
-3.61527297,C(Cl)(Cl)Cl,CCCCCC
-4.13368425,C(Cl)(Cl)(Cl)Cl,CCCCCC
-3.6957558600000002,CCI,CCCCCC
-1.7913784799999999,COC,CCCCCC
-5.9128404,CCCCOCCCC,CCCCCC
-4.06542369,CCOC(C)(C)C,CCCCCC
-4.4680687500000005,CCC(C)(C)OC,CCCCCC
-3.6835335299999996,C1CCOC1,CCCCCC
-4.06542369,C1COCCO1,CCCCCC
-2.67807393,CC(=O)C,CCCCCC
-3.39711591,CCC(=O)C,CCCCCC
-4.67953812,CCCCC(=O)C,CCCCCC
-5.3602988400000005,CCCCCC(=O)C,CCCCCC
-2.92782456,CC(=O)OC,CCCCCC
-4.03152402,CCCOC(=O)C,CCCCCC
-4.94404779,CCCCOC(=O)C,CCCCCC
-3.6452522700000003,CCC(=O)OC,CCCCCC
-4.92905814,CCCCC(=O)OC,CCCCCC
-5.6467164599999995,CCCCCC(=O)OC,CCCCCC
-2.41471731,CC#N,CCCCCC
-3.03551943,CCC#N,CCCCCC
-3.74902677,CCCC#N,CCCCCC
-2.48436153,CNC,CCCCCC
-3.574455,CCNCC,CCCCCC
-4.48836243,CCN(CC)CC,CCCCCC
-2.7557894999999997,C[N+](=O)[O-],CCCCCC
-0.73679895,O,CCCCCC
-1.56607251,CO,CCCCCC
-2.28096351,CCO,CCCCCC
-3.0163788,CCCO,CCCCCC
-3.7407248099999997,CCCCO,CCCCCC
-4.6207325699999995,CCCCCO,CCCCCC
-5.01784299,CCCCCCO,CCCCCC
-5.59206189,CCCCCCCO,CCCCCC
-0.40241445,FS(F)(F)(F)(F)F,CCCCCC
-4.01099973,c1ccccc1,CCCCCC
-4.74756807,Cc1ccccc1,CCCCCC
-5.3506132200000005,CCc1ccccc1,CCCCCC
-5.55401124,CCCc1ccccc1,CCCCCC
-5.21155539,c1ccc(cc1)Cl,CCCCCC
0.44876706000000005,[N]=O,CCCCCC
-6.851423099999999,CCCCCCCCCC,CCCCCC
-3.14044698,CCBr,CCCCCC
-2.62757034,CN(C)C,CCCCCC
-2.7557894999999997,CC(C)O,CCCCCC
-4.18833882,c1ccncc1,CCCCCC
-3.6016669800000005,CCOC(=O)C,CCCCCC
-1.9781725799999998,C1CC1,CCCCCC
-2.4910492200000003,CCC=C,CCCCCC
-2.4283233,CC(=C)C,CCCCCC
-4.02460572,CCCCCl,CCCCCC
-3.4243278900000003,CC(C)(C)Cl,CCCCCC
-3.75179409,CC(C)(C)Br,CCCCCC
-4.43393847,C(C(F)(Cl)Cl)(F)(Cl)Cl,CCCCCC
-7.69453326,CCCCCCCCCCO,CCCCCC
-4.13368425,C[Sn](C)(C)C,CCCCCC
-3.6427155599999996,CCC(C)(C)C,CCCCCC
-3.75179409,C(CCl)Cl,CCCCCC
-3.36967332,CCCCl,CCCCCC
-1.63986771,CN,CCCCCC
-3.57583866,CC(C)CO,CCCCCC
-3.55669803,CCC(C)O,CCCCCC
-4.0518177,CC(C)CCO,CCCCCC
-4.96595574,CC(C)CCC(C)C,CCCCCC
-4.16781453,CC(CCl)Cl,CCCCCC
-5.57176821,CCCCCOC(=O)C,CCCCCC
-4.4475444600000005,CCCCC#N,CCCCCC
-3.4243278900000003,CC[N+](=O)[O-],CCCCCC
-4.0518177,CCC[N+](=O)[O-],CCCCCC
-6.18011739,c1cc(cc(c1)Cl)Cl,CCCCCC
-4.15005756,c1ccc(cc1)F,CCCCCC
-5.65893879,c1ccc(cc1)Br,CCCCCC
-5.42971245,c1ccc(cc1)N,CCCCCC
-6.09017949,c1ccc(cc1)[N+](=O)[O-],CCCCCC
-4.671236159999999,II,CCCCCC
-7.558012140000001,CCCCCCCCCCC,CCCCCC
-8.2373892,CCCCCCCCCCCC,CCCCCC
-4.43393847,C(CCl)CCl,CCCCCC
-4.95234975,C(CCCl)CCl,CCCCCC
-4.78308201,CCCCCCl,CCCCCC
-4.33984959,CC(=O)C(C)(C)C,CCCCCC
-4.97956173,C1CCC(=O)CC1,CCCCCC
-2.29203279,CCN,CCCCCC
-3.0832557000000005,CCCN,CCCCCC
-2.7832320900000003,CC(C)N,CCCCCC
-4.639873199999999,CCCC[N+](=O)[O-],CCCCCC
-9.26337309,CCCCCCCCCCCCO,CCCCCC
-4.01099973,CCOCCO,CCCCCC
-2.96725887,CSC,CCCCCC
-6.3302445,CC[Si](CC)(CC)CC,CCCCCC
-2.37389934,[Hg],CCCCCC
-6.13929942,c1ccc(c(c1)Cl)Cl,CCCCCC
-5.52933597,c1ccc(cc1)C=O,CCCCCC
-6.04913091,CC(=O)c1ccccc1,CCCCCC
-6.125693430000001,Cc1ccccc1N,CCCCCC
-6.05743287,Cc1ccc(cc1)N,CCCCCC
0.8636344499999999,O=O,CCCCC(=O)C
-5.60451483,CCCCC(=O)C,CCCCC(=O)C
2.3275467300000003,[He],CCCCCCCO
2.10500808,[Ne],CCCCCCCO
0.93443172,[Ar],CCCCCCCO
0.29887056,[Kr],CCCCCCCO
-0.51564396,[Xe],CCCCCCCO
1.01629827,O=O,CCCCCCCO
1.33846044,N#N,CCCCCCCO
0.48151368000000005,C,CCCCCCCO
-0.60027783,CC,CCCCCCCO
-1.18694967,CCC,CCCCCCCO
-1.9509606,CCCC,CCCCCCCO
-1.66431237,CC(C)C,CCCCCCCO
-2.6603169600000003,CCCCC,CCCCCCCO
-3.32885535,CCCCCC,CCCCCCCO
-3.0968616900000003,C1CCCC1,CCCCCCCO
-3.7243515,C1CCCCC1,CCCCCCCO
-0.42570606,C=C,CCCCCCCO
1.2469082700000003,C(F)(F)(F)F,CCCCCCCO
-4.3248599400000005,CCCC#N,CCCCCCCO
0.36828416999999997,FS(F)(F)(F)(F)F,CCCCCCCO
-3.83366064,c1ccccc1,CCCCCCCO
-3.5061944400000002,CC1CCCC1,CCCCCCCO
-4.16112684,CC1CCCCC1,CCCCCCCO
2.2237722300000002,[He],CCCCCO
2.03282715,[Ne],CCCCCO
0.8730894600000001,[Ar],CCCCCO
0.25920564,[Kr],CCCCCO
-0.53201727,[Xe],CCCCCO
1.66431237,[HH],CCCCCO
0.9549560100000001,O=O,CCCCCO
1.28242221,N#N,CCCCCO
-0.50480529,[N-]=[N+]=O,CCCCCO
1.11868911,[C-]#[O+],CCCCCO
0.45015072,C,CCCCCO
-0.60027783,CC,CCCCCO
-1.32324018,CCC,CCCCCO
-2.03282715,CCCC,CCCCCO
-1.7872275,CC(C)C,CCCCCO
-2.64671097,CCCCC,CCCCCO
-3.32885535,CCCCCC,CCCCCO
-3.30164337,CCCC(C)C,CCCCCO
-4.62488355,CCCCCCCC,CCCCCO
-3.7107455099999997,C1CCCCC1,CCCCCO
-0.47759331,C=C,CCCCCO
-1.32324018,CC=C,CCCCCO
-2.15551167,C/C=C/C,CCCCCO
-2.23737822,C/C=C\C,CCCCCO
-2.1146937,C=CC=C,CCCCCO
1.15973769,C(F)(F)(F)F,CCCCCO
-2.4693718799999997,CCCl,CCCCCO
-3.1923342299999997,C(Cl)Cl,CCCCCO
-1.28242221,CC(F)F,CCCCCO
-1.9781725799999998,COC,CCCCCO
-3.12407367,CCOCC,CCCCCO
-3.6971395200000003,CCCC=O,CCCCCO
-3.39711591,CC(=O)C,CCCCCO
-3.8880846,CCC(=O)C,CCCCCO
-4.31102334,CCCOC(=O)C,CCCCCO
-4.47475644,CCCC#N,CCCCCO
-4.96595574,CCN(CC)CC,CCCCCO
-4.18833882,CO,CCCCCO
-4.6520955299999995,CCO,CCCCCO
-5.42971245,CCCO,CCCCCO
-6.07103886,CCCCO,CCCCCO
-6.753183239999999,CCCCCO,CCCCCO
0.28641762,FS(F)(F)(F)(F)F,CCCCCO
-3.8608726200000003,c1ccccc1,CCCCCO
-4.48836243,Cc1ccccc1,CCCCCO
-5.01507567,CCc1ccccc1,CCCCCO
-5.21155539,c1ccc(cc1)Cl,CCCCCO
-4.99316772,CC(C)O,CCCCCO
-3.31524936,C(=S)=S,CCCCCO
-3.8744786099999997,CCOC(=O)C,CCCCCO
-3.8880846,CC(C)CC(C)(C)C,CCCCCO
-2.00538456,CCC=C,CCCCCO
-2.00538456,CC(=C)C,CCCCCO
-3.32885535,CCC(C)CC,CCCCCO
-2.93312859,CCC(C)(C)C,CCCCCO
-3.15151626,CC(C)C(C)C,CCCCCO
-3.30164337,CCCCC=C,CCCCCO
-3.21977682,C=CC=O,CCCCCO
-3.5061944400000002,CC1CCCC1,CCCCCO
-3.92913318,CCCCCC=C,CCCCCO
-5.18434341,Cc1ccccc1C,CCCCCO
1.9781725799999998,[He],CO
1.7872275,[Ne],CO
0.77761692,[Ar],CO
0.25920564,[Kr],CO
-0.43654473,[Xe],CO
-0.92774403,[Rn],CO
1.39150074,[HH],CO
0.8186654999999999,O=O,CO
1.10508312,N#N,CO
-0.69575037,[N-]=[N+]=O,CO
0.8866954499999999,[C-]#[O+],CO
-0.84587748,C(=O)=O,CO
-2.83765605,O=S=O,CO
0.36828416999999997,C,CO
-0.51841128,CC,CO
-1.14590109,CCC,CO
-1.7325729300000001,CCCC,CO
-1.4597612999999998,CC(C)C,CO
-2.2645901999999998,CCCCC,CO
-1.9099120200000002,CC(C)(C)C,CO
-2.79683808,CCCCCC,CO
-2.66723526,CCCC(C)C,CO
-3.4107219,CCCCCCC,CO
-2.98501584,CC(C)CC(C)C,CO
-3.84726663,CCCCCCCC,CO
-3.62634225,CC(C)C(C)C(C)C,CO
